should output 5
clk 0, playing 11111111111111111111111111011111, count  1, note  0
clk 1, playing 11111111111111111111111111011111, count  4, note  5
clk 0, playing 11111111111111111111111111011111, count  4, note  5
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
clk 0, playing 11111111111111111111111111011111, count  1, note  5
clk 1, playing 11111111111111111111111111011111, count  2, note  5
clk 0, playing 11111111111111111111111111011111, count  2, note  5
clk 1, playing 11111111111111111111111111011111, count  3, note  5
clk 0, playing 11111111111111111111111111011111, count  3, note  5
clk 1, playing 11111111111111111111111111011111, count  4, note  5
clk 0, playing 11111111111111111111111111011111, count  4, note  5
clk 1, playing 11111111111111111111111111011111, count  5, note  5
clk 0, playing 11111111111111111111111111011111, count  5, note  5
clk 1, playing 11111111111111111111111111011111, count  0, note  5
clk 0, playing 11111111111111111111111111011111, count  0, note  5
clk 1, playing 11111111111111111111111111011111, count  1, note  5
should output 3
clk 0, playing 11111111111111111111111111110111, count  1, note  5
clk 1, playing 11111111111111111111111111110111, count  2, note  5
clk 0, playing 11111111111111111111111111110111, count  2, note  5
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
clk 0, playing 11111111111111111111111111110111, count  1, note  3
clk 1, playing 11111111111111111111111111110111, count  2, note  3
clk 0, playing 11111111111111111111111111110111, count  2, note  3
clk 1, playing 11111111111111111111111111110111, count  3, note  3
clk 0, playing 11111111111111111111111111110111, count  3, note  3
clk 1, playing 11111111111111111111111111110111, count  0, note  3
clk 0, playing 11111111111111111111111111110111, count  0, note  3
clk 1, playing 11111111111111111111111111110111, count  1, note  3
should output 0
clk 0, playing 11111111111111111111111111111110, count  1, note  3
clk 1, playing 11111111111111111111111111111110, count  2, note  3
clk 0, playing 11111111111111111111111111111110, count  2, note  3
clk 1, playing 11111111111111111111111111111110, count  3, note  3
clk 0, playing 11111111111111111111111111111110, count  3, note  3
clk 1, playing 11111111111111111111111111111110, count  4, note  3
clk 0, playing 11111111111111111111111111111110, count  4, note  3
clk 1, playing 11111111111111111111111111111110, count  5, note  3
clk 0, playing 11111111111111111111111111111110, count  5, note  3
clk 1, playing 11111111111111111111111111111110, count  6, note  3
clk 0, playing 11111111111111111111111111111110, count  6, note  3
clk 1, playing 11111111111111111111111111111110, count  7, note  3
clk 0, playing 11111111111111111111111111111110, count  7, note  3
clk 1, playing 11111111111111111111111111111110, count  8, note  3
clk 0, playing 11111111111111111111111111111110, count  8, note  3
clk 1, playing 11111111111111111111111111111110, count  9, note  3
clk 0, playing 11111111111111111111111111111110, count  9, note  3
clk 1, playing 11111111111111111111111111111110, count 10, note  3
clk 0, playing 11111111111111111111111111111110, count 10, note  3
clk 1, playing 11111111111111111111111111111110, count 11, note  3
clk 0, playing 11111111111111111111111111111110, count 11, note  3
clk 1, playing 11111111111111111111111111111110, count 12, note  3
clk 0, playing 11111111111111111111111111111110, count 12, note  3
clk 1, playing 11111111111111111111111111111110, count 13, note  3
clk 0, playing 11111111111111111111111111111110, count 13, note  3
clk 1, playing 11111111111111111111111111111110, count 14, note  3
clk 0, playing 11111111111111111111111111111110, count 14, note  3
clk 1, playing 11111111111111111111111111111110, count 15, note  3
clk 0, playing 11111111111111111111111111111110, count 15, note  3
clk 1, playing 11111111111111111111111111111110, count 16, note  3
clk 0, playing 11111111111111111111111111111110, count 16, note  3
clk 1, playing 11111111111111111111111111111110, count 17, note  3
clk 0, playing 11111111111111111111111111111110, count 17, note  3
clk 1, playing 11111111111111111111111111111110, count 18, note  3
clk 0, playing 11111111111111111111111111111110, count 18, note  3
clk 1, playing 11111111111111111111111111111110, count 19, note  3
clk 0, playing 11111111111111111111111111111110, count 19, note  3
clk 1, playing 11111111111111111111111111111110, count 20, note  3
clk 0, playing 11111111111111111111111111111110, count 20, note  3
clk 1, playing 11111111111111111111111111111110, count 21, note  3
clk 0, playing 11111111111111111111111111111110, count 21, note  3
clk 1, playing 11111111111111111111111111111110, count 22, note  3
clk 0, playing 11111111111111111111111111111110, count 22, note  3
clk 1, playing 11111111111111111111111111111110, count 23, note  3
clk 0, playing 11111111111111111111111111111110, count 23, note  3
clk 1, playing 11111111111111111111111111111110, count 24, note  3
clk 0, playing 11111111111111111111111111111110, count 24, note  3
clk 1, playing 11111111111111111111111111111110, count 25, note  3
clk 0, playing 11111111111111111111111111111110, count 25, note  3
clk 1, playing 11111111111111111111111111111110, count 26, note  3
clk 0, playing 11111111111111111111111111111110, count 26, note  3
clk 1, playing 11111111111111111111111111111110, count 27, note  3
clk 0, playing 11111111111111111111111111111110, count 27, note  3
clk 1, playing 11111111111111111111111111111110, count 28, note  3
clk 0, playing 11111111111111111111111111111110, count 28, note  3
clk 1, playing 11111111111111111111111111111110, count 29, note  3
clk 0, playing 11111111111111111111111111111110, count 29, note  3
clk 1, playing 11111111111111111111111111111110, count 30, note  3
clk 0, playing 11111111111111111111111111111110, count 30, note  3
clk 1, playing 11111111111111111111111111111110, count 31, note  3
clk 0, playing 11111111111111111111111111111110, count 31, note  3
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
clk 1, playing 11111111111111111111111111111110, count  0, note  0
clk 0, playing 11111111111111111111111111111110, count  0, note  0
